	word	surprisal	item	sent_id	sent_pos	zone	length	freq
0	If	6.699	1	1	1	1	2	75318
1	you	2.9794	1	1	2	2	3	1286665
2	were	10.194199999999999	1	1	3	3	4	229411
3	to	9.986	1	1	4	4	2	2148027
4	journey	17.2506	1	1	5	5	7	2679
5	to	6.572900000000001	1	1	6	6	2	2148027
6	the	6.739750000000001	1	1	7	7	3	4187023
7	North	11.4914	1	1	8	8	5	13794
8	of	6.5767	1	1	9	9	2	2057315
9	England,	20.94635	1	1	10	10	8	2026
10	you	5.93715	1	1	11	11	3	1286665
11	would	10.582999999999998	1	1	12	12	5	171047
12	come	9.9497	1	1	13	13	4	102424
13	to	9.542	1	1	14	14	2	2148027
14	a	7.9879	1	1	15	15	1	1933416
15	valley	15.1312	1	1	16	16	6	1791
16	that	6.3002	1	1	17	17	4	914941
17	is	7.49005	1	1	18	18	2	1041416
18	surrounded	16.63705	1	1	19	19	10	2065
19	by	7.235799999999999	1	1	20	20	2	302746
20	moors	27.17375	1	1	21	21	5	46
21	as	9.920449999999999	1	1	22	22	2	438309
22	high	14.0677	1	1	23	23	4	19866
23	as	7.90005	1	1	24	24	2	438309
24	mountains.	25.15195	1	1	25	25	10	690
25	It	5.52985	1	2	1	26	2	220551
26	is	5.94985	1	2	2	27	2	1041416
27	in	9.348700000000001	1	2	3	28	2	1489991
28	this	7.7709	1	2	4	29	4	394225
29	valley	15.9174	1	2	5	30	6	1791
30	where	8.29005	1	2	6	31	5	99866
31	you	5.29035	1	2	7	32	3	1286665
32	would	10.582999999999998	1	2	8	33	5	171047
33	find	12.8763	1	2	9	34	4	52461
34	the	5.69965	1	2	10	35	3	4187023
35	city	11.977450000000001	1	2	11	36	4	26218
36	of	6.52975	1	2	12	37	2	2057315
37	Bradford,	23.004849999999998	1	2	13	38	9	107
38	where	9.80295	1	2	14	39	5	99866
39	once	12.792	1	2	15	40	4	25127
40	a	8.2978	1	2	16	41	1	1933416
41	thousand	12.404900000000001	1	2	17	42	8	9653
42	spinning	18.37865	1	2	18	43	8	735
43	jennies	37.287	1	2	19	44	7	2
44	that	7.99235	1	2	20	45	4	914941
45	hummed	26.8295	1	2	21	46	6	84
46	and	5.1576	1	2	22	47	3	2001994
47	clattered	28.00735	1	2	23	48	9	63
48	spun	19.395850000000003	1	2	24	49	4	400
49	wool	18.284	1	2	25	50	4	530
50	into	12.96845	1	2	26	51	4	116557
51	money	14.8177	1	2	27	52	5	23797
52	for	7.352	1	2	28	53	3	657368
53	the	5.7364	1	2	29	54	3	4187023
54	long-bearded	45.7826	1	2	30	55	12	4
55	mill	18.0901	1	2	31	56	4	747
56	owners.	23.4346	1	2	32	57	7	207
57	That	6.99935	1	3	1	58	4	57508
58	all	9.185649999999999	1	3	2	59	3	272314
59	mill	18.2217	1	3	3	60	4	747
60	owners	16.9638	1	3	4	61	6	1077
61	were	9.66855	1	3	5	62	4	229411
62	generally	15.2867	1	3	6	63	9	4532
63	busy	17.05675	1	3	7	64	4	4514
64	as	8.1615	1	3	8	65	2	438309
65	beavers	30.84235	1	3	9	66	7	27
66	and	5.15425	1	3	10	67	3	2001994
67	quite	14.1577	1	3	11	68	5	29554
68	pleased	14.7722	1	3	12	69	7	2882
69	with	8.6508	1	3	13	70	4	532188
70	themselves	13.317599999999999	1	3	14	71	10	8193
71	for	9.30475	1	3	15	72	3	657368
72	being	11.334150000000001	1	3	16	73	5	55238
73	so	7.7536000000000005	1	3	17	74	2	222473
74	successful	18.44125	1	3	18	75	10	4612
75	and	5.0486	1	3	19	76	3	2001994
76	well	10.494299999999999	1	3	20	77	4	65604
77	off	13.38765	1	3	21	78	3	57270
78	was	10.8286	1	3	22	79	3	865130
79	known	15.054749999999999	1	3	23	80	5	40184
80	to	8.69735	1	3	24	81	2	2148027
81	the	6.739750000000001	1	3	25	82	3	4187023
82	residents	17.115650000000002	1	3	26	83	9	1347
83	of	4.27265	1	3	27	84	2	2057315
84	Bradford,	23.004849999999998	1	3	28	85	9	107
85	and	6.195	1	3	29	86	3	2001994
86	if	9.180399999999999	1	3	30	87	2	193531
87	you	3.4920999999999998	1	3	31	88	3	1286665
88	were	10.194199999999999	1	3	32	89	4	229411
89	to	9.986	1	3	33	90	2	2148027
90	go	8.8316	1	3	34	91	2	152253
91	into	11.5883	1	3	35	92	4	116557
92	the	5.32315	1	3	36	93	3	4187023
93	city	11.977450000000001	1	3	37	94	4	26218
94	to	9.6379	1	3	38	95	2	2148027
95	visit	14.152999999999999	1	3	39	96	5	5580
96	the	5.784000000000001	1	3	40	97	3	4187023
97	stately	18.304450000000003	1	3	41	98	7	387
98	City	12.49655	1	3	42	99	4	8326
99	Hall,	20.0626	1	3	43	100	5	787
100	you	5.93715	1	3	44	101	3	1286665
101	would	10.582999999999998	1	3	45	102	5	171047
102	see	10.946950000000001	1	3	46	103	3	141500
103	there	9.2157	1	3	47	104	5	172849
104	the	8.9911	1	3	48	105	3	4187023
105	Crest	17.1577	1	3	49	106	5	32
106	of	5.8809	1	3	50	107	2	2057315
107	the	6.865349999999999	1	3	51	108	3	4187023
108	City	12.614149999999999	1	3	52	109	4	8326
109	of	5.796	1	3	53	110	2	2057315
110	Bradford,	23.004849999999998	1	3	54	111	9	107
111	which	9.84665	1	3	55	112	5	169235
112	those	11.63895	1	3	56	113	5	61541
113	same	12.629100000000001	1	3	57	114	4	49017
