	word	surprisal	item	sent_id	sent_pos	zone	length	freq
0	If	10.3198	1	1	1	1	2	10669
1	you	18.053	1	1	2	2	3	27690
2	were	18.27955	1	1	3	3	4	356521
3	to	12.974350000000001	1	1	4	4	2	1988038
4	journey	21.2118	1	1	5	5	7	3680
5	to	12.89425	1	1	6	6	2	1988038
6	the	8.971	1	1	7	7	3	5611464
7	North	11.623249999999999	1	1	8	8	5	34149
8	of	12.5217	1	1	9	9	2	2750306
9	England,	32.878299999999996	1	1	10	10	8	0
10	you	18.472250000000003	1	1	11	11	3	27690
11	would	18.259900000000002	1	1	12	12	5	126894
12	come	20.2665	1	1	13	13	4	12335
13	to	12.945	1	1	14	14	2	1988038
14	a	12.25015	1	1	15	15	1	1684274
15	valley	21.4807	1	1	16	16	6	2939
16	that	16.4146	1	1	17	17	4	682579
17	is	12.5796	1	1	18	18	2	514867
18	surrounded	21.15315	1	1	19	19	10	3423
19	by	12.642900000000001	1	1	20	20	2	603586
20	moors	21.87525	1	1	21	21	5	136
21	as	13.0245	1	1	22	22	2	677897
22	high	15.0229	1	1	23	23	4	39012
23	as	13.06415	1	1	24	24	2	677897
24	mountains.	36.8244	1	1	25	25	10	0
25	It	6.88535	1	2	1	26	2	119805
26	is	12.51425	1	2	2	27	2	514867
27	in	12.128350000000001	1	2	3	28	2	1903316
28	this	15.86355	1	2	4	29	4	146224
29	valley	21.54255	1	2	5	30	6	2939
30	where	16.8164	1	2	6	31	5	74655
31	you	18.2089	1	2	7	32	3	27690
32	would	18.259900000000002	1	2	8	33	5	126894
33	find	20.565800000000003	1	2	9	34	4	12416
34	the	9.0839	1	2	10	35	3	5611464
35	city	16.677500000000002	1	2	11	36	4	39274
36	of	12.3618	1	2	12	37	2	2750306
37	Bradford,	36.07805	1	2	13	38	9	0
38	where	17.01035	1	2	14	39	5	74655
39	once	16.6703	1	2	15	40	4	17190
40	a	12.36085	1	2	16	41	1	1684274
41	thousand	21.69695	1	2	17	42	8	2965
42	spinning	22.0906	1	2	18	43	8	643
43	jennies	57.354	1	2	19	44	7	5
44	that	16.23145	1	2	20	45	4	682579
45	hummed	42.7559	1	2	21	46	6	17
46	and	12.942250000000001	1	2	22	47	3	2510744
47	clattered	42.36685	1	2	23	48	9	3
48	spun	22.61185	1	2	24	49	4	583
49	wool	22.173650000000002	1	2	25	50	4	646
50	into	16.8151	1	2	26	51	4	124034
51	money	22.5963	1	2	27	52	5	11215
52	for	14.12965	1	2	28	53	3	677963
53	the	8.7874	1	2	29	54	3	5611464
54	long-bearded	75.4178	1	2	30	55	12	0
55	mill	23.286099999999998	1	2	31	56	4	1527
56	owners.	39.184749999999994	1	2	32	57	7	0
57	That	10.8775	1	3	1	58	4	11528
58	all	16.02355	1	3	2	59	3	98292
59	mill	23.413	1	3	3	60	4	1527
60	owners	22.48385	1	3	4	61	6	3129
61	were	18.229300000000002	1	3	5	62	4	356521
62	generally	14.8494	1	3	6	63	9	14761
63	busy	20.4026	1	3	7	64	4	1227
64	as	12.82835	1	3	8	65	2	677897
65	beavers	39.273	1	3	9	66	7	55
66	and	12.887049999999999	1	3	10	67	3	2510744
67	quite	19.522599999999997	1	3	11	68	5	4987
68	pleased	20.5103	1	3	12	69	7	1549
69	with	14.1511	1	3	13	70	4	634654
70	themselves	20.2188	1	3	14	71	10	9992
71	for	14.1227	1	3	15	72	3	677963
72	being	18.0245	1	3	16	73	5	68511
73	so	17.862000000000002	1	3	17	74	2	54126
74	successful	18.98895	1	3	18	75	10	14015
75	and	12.924150000000001	1	3	19	76	3	2510744
76	well	16.88295	1	3	20	77	4	61873
77	off	19.0642	1	3	21	78	3	40958
78	was	14.45325	1	3	22	79	3	1080224
79	known	16.87425	1	3	23	80	5	54387
80	to	12.92375	1	3	24	81	2	1988038
81	the	8.971	1	3	25	82	3	5611464
82	residents	18.9613	1	3	26	83	9	6490
83	of	12.1952	1	3	27	84	2	2750306
84	Bradford,	36.07805	1	3	28	85	9	0
85	and	13.20655	1	3	29	86	3	2510744
86	if	17.02095	1	3	30	87	2	34963
87	you	18.0348	1	3	31	88	3	27690
88	were	18.27955	1	3	32	89	4	356521
89	to	12.974350000000001	1	3	33	90	2	1988038
90	go	19.85325	1	3	34	91	2	14475
91	into	16.71855	1	3	35	92	4	124034
92	the	8.9012	1	3	36	93	3	5611464
93	city	16.677500000000002	1	3	37	94	4	39274
94	to	13.07575	1	3	38	95	2	1988038
95	visit	19.35855	1	3	39	96	5	6239
96	the	9.02335	1	3	40	97	3	5611464
97	stately	39.599000000000004	1	3	41	98	7	115
98	City	14.12305	1	3	42	99	4	25773
99	Hall,	33.109700000000004	1	3	43	100	5	0
100	you	18.472250000000003	1	3	44	101	3	27690
101	would	18.259900000000002	1	3	45	102	5	126894
102	see	18.19725	1	3	46	103	3	15367
103	there	15.5912	1	3	47	104	5	62555
104	the	9.14715	1	3	48	105	3	5611464
105	Crest	15.204149999999998	1	3	49	106	5	127
106	of	12.338999999999999	1	3	50	107	2	2750306
107	the	8.523950000000001	1	3	51	108	3	5611464
108	City	13.53725	1	3	52	109	4	25773
109	of	12.26725	1	3	53	110	2	2750306
110	Bradford,	36.07805	1	3	54	111	9	0
111	which	16.670650000000002	1	3	55	112	5	276783
112	those	17.8917	1	3	56	113	5	31043
113	same	19.7399	1	3	57	114	4	44903
114	mill	23.20265	1	3	58	115	4	1527
115	owners	22.48385	1	3	59	116	6	3129
116	created	18.15315	1	3	60	117	7	19489
117	to	12.97425	1	3	61	118	2	1988038
118	celebrate	20.87925	1	3	62	119	9	1526
119	their	16.18845	1	3	63	120	5	187293
120	achievements.	38.4995	1	3	64	121	13	0
121	It	6.88535	1	4	1	122	2	119805
122	shows	17.5079	1	4	2	123	5	11162
123	a	12.3455	1	4	3	124	1	1684274
124	sinister	21.11825	1	4	4	125	8	358
125	looking	21.023600000000002	1	4	5	126	7	5153
126	boar's	60.051550000000006	1	4	6	127	6	0
127	head	18.07315	1	4	7	128	4	19105
128	sitting	19.9546	1	4	8	129	7	2202
129	on	13.520150000000001	1	4	9	130	2	691658
130	top	16.46045	1	4	10	131	3	26732
131	of	12.443850000000001	1	4	11	132	2	2750306
132	a	11.9937	1	4	12	133	1	1684274
133	well	16.9424	1	4	13	134	4	61873
134	which	16.47355	1	4	14	135	5	276783
135	seems	18.979100000000003	1	4	15	136	5	4321
136	puzzling	40.61405	1	4	16	137	8	73
137	at	12.18475	1	4	17	138	2	419116
138	first,	32.46555	1	4	18	139	6	0
139	but	17.318399999999997	1	4	19	140	3	204206
140	the	9.15585	1	4	20	141	3	5611464
141	reason	21.41385	1	4	21	142	6	5889
142	for	14.1497	1	4	22	143	3	677963
143	this	15.88165	1	4	23	144	4	146224
144	symbol	21.139699999999998	1	4	24	145	6	2770
145	is	12.89955	1	4	25	146	2	514867
146	a	12.236	1	4	26	147	1	1684274
